trust_code,trust_name,available_beds,occupied_beds
RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,600.9222222222222,564.3
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,38.58888888888889,34.266666666666666
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,761.4888888888889,671.8555555555556
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1674.4444444444443,1503.0444444444445
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",0.0,0.0
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",49.0,42.77777777777778
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,702.7222222222222,639.8111111111111
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,56.0,51.6
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,1092.2222222222222,990.0111111111112
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,24.0,22.45555555555556
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,563.2555555555556,518.0666666666667
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,738.0,722.7111111111111
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,818.6777777777778,814.5333333333333
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,940.1222222222224,917.5555555555557
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,475.0,474.22222222222223
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,895.2333333333333,871.6888888888889
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0.0,0.0
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,0.0,0.0
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,842.2,790.4555555555555
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,0.0,0.0
RY3,EAST OF ENGLAND COMMUNITY HEALTH AND CARE NHS TRUST,76.13333333333334,71.17777777777778
