trust_code,trust_name,rtt_total_waiting,rtt_over_18_weeks
NVC23,WOODLAND HOSPITAL,10172,3854.0
NVC25,THE CHERWELL HOSPITAL,4118,1438.0
NVC27,BOSTON WEST HOSPITAL,4816,1902.0
NVC28,CLIFTON PARK HOSPITAL,2886,1110.0
NVC29,COBALT HOSPITAL,3630,1314.0
NVC31,BLAKELANDS HOSPITAL,4636,1360.0
NVC40,WOODTHORPE HOSPITAL,7198,2146.0
NVC44,THE WESTBOURNE CENTRE,7332,3348.0
NVM,EPSOMEDICAL GROUP,6260,1508.0
NWF01,BENENDEN HOSPITAL,2864,498.0
NWV01,COHESE HEALTHCARE,1902,2.0
NX501,ANGLIA COMMUNITY EYE SERVICE LTD,1360,270.0
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,448,28.0
NX507,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,358,38.0
NXM01,THE HORDER CENTRE - ST JOHNS ROAD,2494,1140.0
NXP,INDEPENDENT HEALTH GROUP,2182,110.0
NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,26724,6250.0
NYR,CORA HEALTH DIAGNOSTICS (FORMERLY HEALTHSHARE DIAGNOSTICS),3824,1596.0
O1B1P,ACES PLYMOUTH,4,2.0
O1P6X,SPAMEDICA OLDHAM,1256,78.0
O5Y9D,SPAMEDICA OXFORD,354,28.0
O6X7Z,SPAMEDICA CAMBRIDGE,1048,76.0
O9Q4E,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,892,308.0
P0C3F,SPAMEDICA LEEDS,542,34.0
P1B7M,SPAMEDICA BRISTOL,312,24.0
P1G3N,ACES LEEDS WHITE ROSE,12,4.0
P5Y6K,NEWMEDICA - SHREWSBURY,932,40.0
Q1W6P,SPAMEDICA WATFORD,760,36.0
Q2Y5H,OVIVA UK LTD,19712,8756.0
Q4W9A,ACES SOUTHAMPTON,68,6.0
Q6V1S,OPTEGRA EYE HOSPITAL SHEFFIELD,516,24.0
Q8X0X,SPAMEDICA ISLE OF WIGHT COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,46,2.0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,332660,123100.0
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,115798,27118.0
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,133032,43210.0
R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,1642,494.0
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,80,8.0
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,16206,3058.0
R1F,ISLE OF WIGHT NHS TRUST,26438,9724.0
R1G7E,SPAMEDICA KENDAL,894,42.0
R1H,BARTS HEALTH NHS TRUST,243022,91338.0
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,163574,58826.0
R5J3Z,BORDER HEALTH ALLIANCE LIMITED,1120,340.0
R6X7C,SPAMEDICA MACCLESFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,98,0.0
R7W2O,NEWCASTLE NEWMEDICA LTD,1790,76.0
RA2,ROYAL SURREY NHS FOUNDATION TRUST,60798,21592.0
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,99848,31934.0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,66956,22506.0
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,62892,21272.0
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,347954,171878.0
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,266780,93642.0
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,18316,5130.0
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,65986,23938.0
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,87722,27996.0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,42994,16034.0
RBK,WALSALL HEALTHCARE NHS TRUST,54608,14638.0
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,87332,30824.0
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,155332,52342.0
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,12068,2480.0
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,32994,10406.0
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,61170,22954.0
RBV,THE CHRISTIE NHS FOUNDATION TRUST,6132,180.0
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,168998,64090.0
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,109930,47736.0
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,41548,9872.0
RCF,AIREDALE NHS FOUNDATION TRUST,28404,7564.0
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,21622,5904.0
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",50058,20792.0
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,78210,24146.0
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,66896,25048.0
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,177184,70626.0
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,26348,11718.0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,133666,51912.0
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,83724,22064.0
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,121300,45870.0
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,1454,52.0
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,23720,9466.0
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,30920,11086.0
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",137750,46822.0
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42988,12462.0
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,56548,17376.0
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,54076,20632.0
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,10566,2242.0
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,158368,61212.0
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,65654,29220.0
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,58260,19804.0
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,116870,43326.0
RH5,SOMERSET NHS FOUNDATION TRUST,104604,36186.0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,141450,52674.0
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,119366,43564.0
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,106874,41212.0
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,69352,11246.0
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,211576,66740.0
