trust_code,trust_name,provider_type_source,backlog_maintenance_cost,floor_area_m2
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,22924672.0,115866.0
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,92577458.0,187183.0
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - LARGE,126055888.0,163927.0
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ACUTE - TEACHING,135858269.0,315205.0
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ACUTE - LARGE,46592463.0,133097.0
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,161985894.0,148668.0
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ACUTE - LARGE,56013813.0,120647.0
RWJ,STOCKPORT NHS FOUNDATION TRUST,ACUTE - MEDIUM,67864565.0,104265.0
RWK,EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,34523660.0,101469.0
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ACUTE - LARGE,71853140.0,131145.0
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,23660683.0,53328.0
RWV,DEVON PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,22955206.0,54419.0
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,44665099.0,94226.0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,3040338.0,61334.0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ACUTE - LARGE,43739710.0,126420.0
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,443223670.0,338744.0
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,30560354.0,75914.0
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",MENTAL HEALTH AND LEARNING DISABILITY,17852107.0,132429.0
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",MENTAL HEALTH AND LEARNING DISABILITY,8943665.0,170829.0
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,1802000.0,33474.0
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,AMBULANCE,35646817.0,62069.0
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,AMBULANCE,13653618.0,59550.0
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,AMBULANCE,16794288.0,39715.0
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,6103500.0,57748.0
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ACUTE - LARGE,170737063.0,145153.0
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,18785684.0,50043.0
RXF,MID YORKSHIRE TEACHING NHS TRUST,ACUTE - TEACHING,70345000.0,217702.0
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,8850660.0,71880.0
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ACUTE - LARGE,187290044.0,204801.0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,32065206.0,141380.0
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,10171268.0,44743.0
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,66202910.0,187123.0
