trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,92,-0.2971483891227957,20.175438596491226,2,6
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ACUTE - SMALL,93,-0.30565876166694966,19.298245614035086,3,6
RH5,SOMERSET NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,94,-0.32379088325110916,18.421052631578945,2,6
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,95,-0.3247624413019374,17.543859649122805,4,6
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ACUTE - MEDIUM,96,-0.335443644158077,16.666666666666664,1,6
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,97,-0.35203991591308087,15.789473684210526,2,6
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,98,-0.35784425698525624,14.912280701754385,2,6
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,99,-0.3944121337897319,14.035087719298245,2,6
RXF,MID YORKSHIRE TEACHING NHS TRUST,ACUTE - TEACHING,100,-0.39679382994085666,13.157894736842104,2,6
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,101,-0.4487665173840724,12.280701754385964,3,6
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,102,-0.4506330340577472,11.403508771929824,2,6
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,103,-0.5058141573501646,10.526315789473683,2,6
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,104,-0.5549155034227368,9.649122807017543,2,6
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ACUTE - SMALL,105,-0.5552303119788199,8.771929824561402,4,6
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ACUTE - LARGE,106,-0.5582086637070017,7.894736842105263,1,6
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ACUTE - TEACHING,107,-0.5599915403771383,7.017543859649122,2,6
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,108,-0.6551561860152327,6.140350877192982,,5
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,ACUTE - LARGE,109,-0.7822381648755319,5.263157894736842,1,6
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ACUTE - TEACHING,110,-0.8141896834328591,4.385964912280701,2,6
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,111,-0.8372766416567131,3.508771929824561,2,6
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,112,-0.9032581156766052,2.631578947368421,2,6
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,113,-0.9509477118827679,1.7543859649122806,1,6
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ACUTE - LARGE,114,-1.0602343664695193,0.8771929824561403,1,6
