trust_code,trust_name,baseline_score,baseline_rank,no_estates_score,no_estates_rank,no_estates_rank_movement,percentile_score,percentile_rank,percentile_rank_movement,complete_case_score,complete_case_rank,complete_case_rank_movement,baseline_top_decile_flag,no_estates_top_decile_flag,percentile_top_decile_flag,complete_case_top_decile_flag
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,-0.2403201602966142,82,-0.06731971752777346,66,-16,39.26797081198572,94,12,-0.24325805306529932,81,-1,False,False,False,False
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,-0.2416617602145107,83,-0.07682365230299686,67,-16,42.665476375304046,86,3,-0.24446018799051025,82,-1,False,False,False,False
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,-0.2435885530355062,84,-0.10387480736255861,72,-12,46.78233193603478,77,-7,-0.24673907876619128,83,-1,False,False,False,False
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,-0.2529049116501061,85,-0.3096181603780027,90,5,57.827459504217764,29,-56,-0.254610940902208,84,-1,False,False,False,False
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,-0.2666826333216824,86,-0.25349475890751205,84,-2,47.59224758060342,71,-15,-0.2699044325842914,85,-1,False,False,False,False
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,-0.2668843546691888,87,-0.10344871998828405,71,-16,41.05987683071987,91,4,-0.27095514718963737,86,-1,False,False,False,False
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,-0.2737671490619405,88,-0.2116618862674029,81,-7,41.98235263675412,89,1,-0.2767816907413014,87,-1,False,False,False,False
RVJ,NORTH BRISTOL NHS TRUST,-0.2769907732316116,89,-0.17468757100503848,77,-12,42.88412772343839,85,-4,-0.2834273394120999,89,0,False,False,False,False
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,-0.2818231483284325,90,-0.2517278207112971,83,-7,44.01619831289137,84,-6,-0.2832032800297493,88,-2,False,False,False,False
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,-0.286862381530118,91,-0.14666795705295763,74,-17,35.32060239093308,100,9,-0.29074360410010397,90,-1,False,False,False,False
