trust_code,trust_name,primary_rvpi_rank,primary_rvpi_z,primary_rvpi_percentile,primary_cluster,full_rvpi_rank,full_rvpi_z,full_rvpi_percentile,full_cluster,rank_change_primary_minus_full,absolute_rank_change,percentile_change_primary_minus_full,ordered_cluster_label_agrees
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,93,-0.30565876166694966,19.298245614035086,3,92,-0.013421714659780279,30.0,1,1,1,-10.701754385964914,False
RH5,SOMERSET NHS FOUNDATION TRUST,94,-0.32379088325110916,18.421052631578945,2,76,0.0816891160045198,42.30769230769231,1,18,18,-23.88663967611336,False
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,95,-0.3247624413019374,17.543859649122805,4,90,-0.0036200965884163883,31.538461538461537,1,5,5,-13.994601889338732,False
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,96,-0.335443644158077,16.666666666666664,1,93,-0.018070204735069855,29.230769230769234,1,3,3,-12.56410256410257,True
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,97,-0.35203991591308087,15.789473684210526,2,50,0.19288507713305933,62.30769230769231,1,47,47,-46.51821862348178,False
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,98,-0.35784425698525624,14.912280701754385,2,100,-0.057108932196113106,23.846153846153847,1,-2,2,-8.933873144399461,False
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,99,-0.3944121337897319,14.035087719298245,2,95,-0.01990812877612434,27.692307692307693,1,4,4,-13.657219973009449,False
RXF,MID YORKSHIRE TEACHING NHS TRUST,100,-0.39679382994085666,13.157894736842104,2,102,-0.07834266492702083,22.30769230769231,1,-2,2,-9.149797570850206,False
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,101,-0.4487665173840724,12.280701754385964,3,101,-0.07781628020585805,23.076923076923077,1,0,0,-10.796221322537113,False
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,102,-0.4506330340577472,11.403508771929824,2,106,-0.11097110656980025,19.230769230769234,1,-4,4,-7.82726045883941,False
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,103,-0.5058141573501646,10.526315789473683,2,107,-0.1286067082451446,18.461538461538463,1,-4,4,-7.93522267206478,False
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,104,-0.5549155034227368,9.649122807017543,2,97,-0.042235940365329856,26.153846153846157,1,7,7,-16.504723346828612,False
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,105,-0.5552303119788199,8.771929824561402,4,114,-0.2908332698379864,13.076923076923078,1,-9,9,-4.304993252361676,False
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,106,-0.5582086637070017,7.894736842105263,1,113,-0.2769754871736504,13.846153846153847,1,-7,7,-5.951417004048584,True
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,107,-0.5599915403771383,7.017543859649122,2,81,0.06565596696396657,38.46153846153847,1,26,26,-31.443994601889344,False
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,108,-0.6551561860152327,6.140350877192982,,104,-0.09678594825236997,20.76923076923077,,4,4,-14.628879892037787,False
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,109,-0.7822381648755319,5.263157894736842,1,111,-0.20796756420049478,15.384615384615385,1,-2,2,-10.121457489878544,True
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,110,-0.8141896834328591,4.385964912280701,2,103,-0.09276886235064274,21.53846153846154,1,7,7,-17.152496626180838,False
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,111,-0.8372766416567131,3.508771929824561,2,110,-0.19984260912865928,16.153846153846153,1,1,1,-12.645074224021592,False
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,112,-0.9032581156766052,2.631578947368421,2,109,-0.15387089696797307,16.923076923076923,1,3,3,-14.291497975708502,False
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,113,-0.9509477118827679,1.7543859649122806,1,121,-0.4660593379186621,7.6923076923076925,1,-8,8,-5.937921727395412,True
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,114,-1.0602343664695193,0.8771929824561403,1,120,-0.44823733095666696,8.461538461538462,1,-6,6,-7.584345479082321,True
